,Education,Never went to school or completed primary school,Completed primary education,Completed Junior Certificate,Completed Leaving Certficicate,Completed Third Level Education,Not known,
2011,Cork,46,273,840,553,123,583,2418
2011,Clare,~,29,49,42,17,20,158
2011,Cavan,~,27,40,23,13,58,165
2011,Carlow,5,75,158,91,13,38,380
2011,Dublin,245,1260,1787,818,246,707,5063
2011,Donegal,5,135,159,143,91,202,735
2011,Galway,11,92,166,157,65,114,605
2011,Kilkenny,8,40,130,107,14,39,338
2011,Kildare,13,87,225,127,34,85,571
2011,Kerry,6,133,245,229,33,103,749
2011,Limerick,16,131,164,132,27,109,579
2011,Longford,5,38,36,66,8,28,181
2011,Louth,7,67,123,51,15,91,354
2011,Leitrim,0,~,~,15,7,55,84
2011,Laois,8,40,107,63,14,15,247
2011,Meath,6,43,86,58,18,43,254
2011,Monaghan,~,11,42,18,~,43,120
2011,Mayo,~,26,53,65,20,45,213
2011,Offaly,12,55,118,51,17,19,272
2011,Roscommon,0,15,42,20,8,10,95
2011,Sligo,~,36,68,68,29,71,273
2011,Tipperary,9,134,336,213,50,106,848
2011,Waterford,8,132,335,271,68,126,940
2011,Westmeath,10,74,130,99,23,99,435
2011,Wicklow,13,50,113,66,37,37,316
2011,Wexford,8,123,248,203,63,99,744
2011,Outside Ireland,0,5,14,15,24,~,61
2011,Address unknown Ireland,~,8,16,6,~,~,39
2011,Totals,456,3142,5834,3770,1083,2952,17237
2012,Cork,40,292,682,560,130,452,2156
2012,Clare,5,31,46,53,10,17,162
2012,Cavan,11,42,68,34,19,139,313
2012,Carlow,11,74,124,72,16,31,328
2012,Dublin,189,1073,1506,773,250,775,4566
2012,Donegal,~,190,144,142,83,159,720
2012,Galway,15,123,170,143,52,87,590
2012,Kilkenny,5,60,125,106,29,52,377
2012,Kildare,13,90,235,143,61,93,635
2012,Kerry,8,121,224,214,52,78,697
2012,Limerick,14,104,129,116,25,51,439
2012,Longford,13,46,41,31,14,32,177
2012,Louth,18,75,150,61,41,119,464
